"Time","Total Calls","Connected Calls","Calls Not Connected","Calls Not Connected (Length Limit Reached)","Calls Not Connected (Contact Hung Up)","Calls Not Connected (Caller Hangup Within 5 Seconds)","Calls Not Connected (Caller Hangup Within 10 Seconds)","Calls Not Connected (Caller Hangup Within 20 Seconds)","Availability (%)","TOTAL CALLS INCLUDING HANGUPS (M)","Avg Call Length (s)","Longest Wait Time (s)","Avg Wait Time (s)","Avg Answer Time (s)","Avg Wrap Up Time (s)","Max. Queue Length"
"2025-01-07 08:00","264","69","195","193","2","0","0","0","26.14","828.7","188","982","160.53","607.02","16.78","20"
"2025-01-07 08:30","142","42","100","95","5","2","2","3","29.58","678.6","287","1018","244.05","823.23","17.87","20"
"2025-01-07 09:00","53","32","21","12","9","4","5","6","60.38","536.6","608","1078","508.66","818.89","17.42","20"
"2025-01-07 09:30","35","32","3","1","2","0","1","2","91.43","681.9","1169","1681","1022.95","1118.21","18.16","20"
"2025-01-07 10:00","35","25","10","4","6","3","4","5","71.43","631.3","1082","1514","946.01","1295.22","17.73","20"
"2025-01-07 10:30","28","23","5","0","5","2","2","3","82.14","588.2","1260","1872","1144.68","1386.75","19.68","19"
"2025-01-07 11:00","42","22","20","18","2","0","1","1","52.38","528.1","754","1689","674.01","1285.44","15.15","20"
"2025-01-07 11:30","36","25","11","7","4","0","3","3","69.44","640.4","1067","1638","940.21","1351.92","17.69","20"
"2025-01-07 12:00","31","22","9","1","7","2","3","5","70.97","404.3","783","1446","661.19","843.12","17.87","20"
"2025-01-07 12:30","29","23","6","0","6","1","2","3","79.31","189.7","393","491","265.9","303.92","19.04","10"
"2025-01-07 13:00","36","29","7","0","7","1","1","1","80.56","256.2","427","1467","289.68","312.5","20.28","8"
"2025-01-07 13:30","27","22","5","0","5","1","1","2","81.48","860.7","1913","2963","1718.88","2059.77","16.06","20"
"2025-01-07 14:00","29","11","18","15","3","1","2","2","37.93","504","1043","2901","963.92","2445.21","20.48","20"
"2025-01-07 14:30","45","15","30","27","3","0","1","2","33.33","580.9","775","2485","700.32","2075.14","17.66","20"
"2025-01-07 15:00","47","15","32","27","5","1","1","1","31.91","444","567","1931","509.87","1446.8","18.5","20"
"2025-01-07 15:30","73","27","46","34","12","3","8","9","36.99","916.8","754","2775","687.91","1837.96","15.3","20"
"2025-01-07 16:00","100","12","88","83","5","3","3","4","12","479.9","288","2594","265.57","2203.39","13.37","20"
"2025-01-07 16:30","97","23","74","68","6","1","2","2","23.71","752.8","466","2327","407.99","1519.86","19.41","20"
"2025-01-07 17:00","30","13","17","15","2","1","1","2","43.33","484.7","969","2404","887.78","2047.59","20.02","20"
"2025-01-07 17:30","18","8","10","3","6","3","5","5","44.44","201.2","671","1674","609.31","1096.28","20.02","20"
"2025-01-07 18:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","1197","490","707","603","102","29","48","61","40.94","11189","560.91","2963","492.52","1165.01","17.75","20"
